scaffold	start	end	PPrD	PPrK	PPrGenomeD	PPrGenomeK	PangD	PangK	PangGenomeD	PangGenomeK	PfreD	PfreK	PfreGenomeD	PfreGenomeK	PlasD	PlasK	PlasGenomeD	PlasGenomeK	PnigD	PnigK	PnigGenomeD	PnigGenomeK	PtrD	PtrK	PtrGenomeD	PtrGenomeK	PtreD	PtreK	PtreGenomeD	PtreGenomeK	pbaD	pbaK	pbaGenomeD	pbaGenomeK	peuD	peuK	peuGenomeD	peuGenomeK	pilD	pilK	pilGenomeD	pilGenomeK	plauD	plauK	plauGenomeD	plauGenomeK	pteD	pteK	pteGenomeD	pteGenomeK
scaffold	1010001	1020000	95	235	32281	54575	17	2	9785	4423	5	4	1347	4181	25	0	8492	3568	22	2	8164	3163	39	54	11715	22554	68	29	21632	8765	38	31	10572	20614	92	237	30776	59847	143	42	52756	9350	16	6	8263	3595	70	46	21325	21986
scaffold	1020001	1030000	49	456	32281	54575	25	5	9785	4423	0	5	1347	4181	18	2	8492	3568	23	2	8164	3163	27	18	11715	22554	37	20	21632	8765	21	31	10572	20614	46	383	30776	59847	90	46	52756	9350	12	7	8263	3595	31	57	21325	21986
scaffold	1030001	1040000	68	212	32281	54575	24	3	9785	4423	8	5	1347	4181	25	3	8492	3568	36	2	8164	3163	27	119	11715	22554	102	23	21632	8765	19	154	10572	20614	65	188	30776	59847	172	32	52756	9350	20	4	8263	3595	100	74	21325	21986
scaffold	1040001	1050000	107	273	32281	54575	18	9	9785	4423	9	12	1347	4181	37	4	8492	3568	30	4	8164	3163	54	77	11715	22554	65	27	21632	8765	30	71	10572	20614	110	263	30776	59847	229	37	52756	9350	35	5	8263	3595	92	27	21325	21986
scaffold	1050001	1060000	94	163	32281	54575	21	2	9785	4423	3	10	1347	4181	21	3	8492	3568	20	6	8164	3163	47	64	11715	22554	70	35	21632	8765	28	60	10572	20614	86	154	30776	59847	151	7	52756	9350	8	6	8263	3595	65	76	21325	21986
scaffold	1060001	1070000	131	185	32281	54575	38	12	9785	4423	6	7	1347	4181	27	0	8492	3568	25	1	8164	3163	55	69	11715	22554	76	22	21632	8765	48	49	10572	20614	124	160	30776	59847	233	37	52756	9350	28	0	8263	3595	91	68	21325	21986
scaffold	1070001	1080000	76	208	32281	54575	13	2	9785	4423	3	8	1347	4181	7	2	8492	3568	2	0	8164	3163	28	39	11715	22554	26	7	21632	8765	20	32	10572	20614	77	180	30776	59847	134	30	52756	9350	6	6	8263	3595	30	31	21325	21986
scaffold	1080001	1090000	57	158	32281	54575	28	1	9785	4423	1	14	1347	4181	18	1	8492	3568	17	1	8164	3163	39	55	11715	22554	45	28	21632	8765	39	27	10572	20614	57	151	30776	59847	149	12	52756	9350	17	3	8263	3595	69	19	21325	21986
scaffold	1090001	1100000	108	158	32281	54575	37	11	9785	4423	5	14	1347	4181	52	8	8492	3568	44	6	8164	3163	55	54	11715	22554	102	35	21632	8765	65	25	10572	20614	102	145	30776	59847	229	23	52756	9350	31	5	8263	3595	119	38	21325	21986
scaffold	1100001	1110000	115	187	32281	54575	48	14	9785	4423	2	11	1347	4181	50	12	8492	3568	44	13	8164	3163	55	85	11715	22554	103	49	21632	8765	52	82	10572	20614	111	196	30776	59847	239	10	52756	9350	36	5	8263	3595	128	51	21325	21986
scaffold	1110001	1120000	138	143	32281	54575	20	18	9785	4423	7	10	1347	4181	41	6	8492	3568	39	9	8164	3163	23	130	11715	22554	105	26	21632	8765	26	126	10572	20614	137	149	30776	59847	238	18	52756	9350	52	15	8263	3595	76	103	21325	21986
scaffold	1120001	1130000	95	156	32281	54575	25	40	9785	4423	5	9	1347	4181	28	3	8492	3568	28	8	8164	3163	42	103	11715	22554	94	14	21632	8765	52	73	10572	20614	84	173	30776	59847	167	22	52756	9350	27	5	8263	3595	65	102	21325	21986
scaffold	1130001	1140000	168	137	32281	54575	33	5	9785	4423	8	17	1347	4181	51	6	8492	3568	62	5	8164	3163	62	59	11715	22554	81	23	21632	8765	44	60	10572	20614	173	140	30776	59847	263	36	52756	9350	49	8	8263	3595	82	94	21325	21986
scaffold	1140001	1150000	109	351	32281	54575	20	5	9785	4423	15	9	1347	4181	38	3	8492	3568	21	4	8164	3163	41	48	11715	22554	56	17	21632	8765	37	43	10572	20614	117	274	30776	59847	223	26	52756	9350	21	1	8263	3595	55	60	21325	21986
scaffold	1150001	1160000	42	189	32281	54575	18	3	9785	4423	3	1	1347	4181	9	4	8492	3568	15	4	8164	3163	29	43	11715	22554	10	3	21632	8765	30	36	10572	20614	48	154	30776	59847	82	43	52756	9350	10	5	8263	3595	22	11	21325	21986
scaffold	1160001	1170000	171	162	32281	54575	45	5	9785	4423	5	10	1347	4181	65	7	8492	3568	62	6	8164	3163	66	29	11715	22554	153	34	21632	8765	49	70	10572	20614	162	151	30776	59847	292	11	52756	9350	37	3	8263	3595	122	115	21325	21986
scaffold	1170001	1180000	139	113	32281	54575	45	14	9785	4423	2	11	1347	4181	42	13	8492	3568	33	11	8164	3163	55	35	11715	22554	74	16	21632	8765	47	55	10572	20614	130	117	30776	59847	209	2	52756	9350	32	6	8263	3595	67	81	21325	21986
scaffold	1180001	1190000	95	217	32281	54575	42	13	9785	4423	16	13	1347	4181	38	6	8492	3568	39	6	8164	3163	54	54	11715	22554	62	7	21632	8765	39	19	10572	20614	104	205	30776	59847	190	16	52756	9350	39	2	8263	3595	71	35	21325	21986
scaffold	1190001	1200000	64	488	32281	54575	17	12	9785	4423	6	12	1347	4181	10	3	8492	3568	8	3	8164	3163	29	45	11715	22554	20	14	21632	8765	23	19	10572	20614	61	520	30776	59847	124	3	52756	9350	4	2	8263	3595	17	35	21325	21986
scaffold	1200001	1210000	123	176	32281	54575	71	9	9785	4423	5	12	1347	4181	48	7	8492	3568	45	11	8164	3163	68	59	11715	22554	96	28	21632	8765	60	55	10572	20614	116	237	30776	59847	198	17	52756	9350	41	7	8263	3595	67	133	21325	21986
scaffold	1210001	1220000	174	206	32281	54575	99	4	9785	4423	7	14	1347	4181	40	11	8492	3568	61	7	8164	3163	112	103	11715	22554	71	19	21632	8765	116	91	10572	20614	184	182	30776	59847	254	12	52756	9350	57	8	8263	3595	64	36	21325	21986
scaffold	1220001	1230000	101	396	32281	54575	23	5	9785	4423	7	6	1347	4181	14	1	8492	3568	9	0	8164	3163	33	50	11715	22554	65	14	21632	8765	22	33	10572	20614	94	420	30776	59847	146	48	52756	9350	12	4	8263	3595	54	38	21325	21986
scaffold	1230001	1240000	68	188	32281	54575	37	6	9785	4423	11	15	1347	4181	19	31	8492	3568	28	3	8164	3163	28	117	11715	22554	68	31	21632	8765	40	51	10572	20614	74	188	30776	59847	144	23	52756	9350	19	20	8263	3595	45	79	21325	21986
scaffold	1240001	1250000	6	412	32281	54575	0	5	9785	4423	0	1	1347	4181	1	1	8492	3568	3	4	8164	3163	5	19	11715	22554	8	27	21632	8765	4	16	10572	20614	8	354	30776	59847	12	45	52756	9350	2	1	8263	3595	4	52	21325	21986
scaffold	1250001	1260000	99	226	32281	54575	35	4	9785	4423	0	2	1347	4181	29	9	8492	3568	32	2	8164	3163	28	81	11715	22554	112	39	21632	8765	30	81	10572	20614	100	219	30776	59847	201	33	52756	9350	36	2	8263	3595	108	83	21325	21986
scaffold	1260001	1270000	80	294	32281	54575	32	5	9785	4423	1	7	1347	4181	23	5	8492	3568	17	5	8164	3163	28	71	11715	22554	91	6	21632	8765	28	65	10572	20614	93	284	30776	59847	149	43	52756	9350	30	1	8263	3595	79	54	21325	21986
scaffold	1270001	1280000	33	147	32281	54575	7	17	9785	4423	0	2	1347	4181	0	1	8492	3568	0	0	8164	3163	9	68	11715	22554	17	12	21632	8765	4	29	10572	20614	24	168	30776	59847	45	75	52756	9350	0	3	8263	3595	18	27	21325	21986
scaffold	1280001	1290000	134	220	32281	54575	52	6	9785	4423	8	7	1347	4181	34	13	8492	3568	55	3	8164	3163	43	77	11715	22554	83	29	21632	8765	40	48	10572	20614	141	175	30776	59847	227	33	52756	9350	44	11	8263	3595	103	44	21325	21986
scaffold	1290001	1300000	94	297	32281	54575	43	2	9785	4423	7	6	1347	4181	25	3	8492	3568	25	2	8164	3163	58	51	11715	22554	47	17	21632	8765	61	34	10572	20614	95	299	30776	59847	147	84	52756	9350	18	22	8263	3595	49	49	21325	21986
scaffold	1300001	1310000	131	153	32281	54575	67	15	9785	4423	3	13	1347	4181	51	8	8492	3568	58	12	8164	3163	69	70	11715	22554	75	28	21632	8765	70	56	10572	20614	125	173	30776	59847	245	19	52756	9350	44	15	8263	3595	79	121	21325	21986
scaffold	1310001	1320000	33	99	32281	54575	13	23	9785	4423	1	11	1347	4181	12	1	8492	3568	10	12	8164	3163	14	52	11715	22554	28	10	21632	8765	15	36	10572	20614	32	90	30776	59847	70	32	52756	9350	5	29	8263	3595	36	60	21325	21986
scaffold	1320001	1330000	55	206	32281	54575	20	1	9785	4423	1	2	1347	4181	17	1	8492	3568	12	0	8164	3163	18	22	11715	22554	25	8	21632	8765	14	26	10572	20614	52	255	30776	59847	80	41	52756	9350	19	1	8263	3595	30	27	21325	21986
scaffold	1330001	1340000	138	132	32281	54575	53	2	9785	4423	13	20	1347	4181	43	8	8492	3568	43	1	8164	3163	51	80	11715	22554	106	21	21632	8765	39	62	10572	20614	143	102	30776	59847	254	29	52756	9350	38	1	8263	3595	119	79	21325	21986
scaffold	1340001	1350000	134	221	32281	54575	35	55	9785	4423	4	47	1347	4181	17	62	8492	3568	17	49	8164	3163	24	122	11715	22554	111	32	21632	8765	31	107	10572	20614	135	209	30776	59847	203	16	52756	9350	18	60	8263	3595	107	70	21325	21986
scaffold	1350001	1360000	157	145	32281	54575	48	9	9785	4423	2	6	1347	4181	36	7	8492	3568	32	6	8164	3163	16	77	11715	22554	119	13	21632	8765	12	66	10572	20614	118	275	30776	59847	231	18	52756	9350	32	10	8263	3595	95	84	21325	21986
scaffold	1360001	1370000	159	107	32281	54575	36	3	9785	4423	4	2	1347	4181	33	4	8492	3568	28	1	8164	3163	15	111	11715	22554	84	16	21632	8765	23	84	10572	20614	149	98	30776	59847	202	31	52756	9350	19	1	8263	3595	75	81	21325	21986
scaffold	1370001	1380000	79	66	32281	54575	20	4	9785	4423	0	6	1347	4181	11	7	8492	3568	13	21	8164	3163	7	36	11715	22554	28	13	21632	8765	6	28	10572	20614	67	86	30776	59847	91	25	52756	9350	11	13	8263	3595	25	49	21325	21986
scaffold	1380001	1390000	133	113	32281	54575	42	14	9785	4423	5	15	1347	4181	35	5	8492	3568	38	4	8164	3163	68	37	11715	22554	93	53	21632	8765	58	41	10572	20614	121	132	30776	59847	189	28	52756	9350	42	6	8263	3595	72	94	21325	21986
scaffold	1390001	1400000	202	180	32281	54575	50	19	9785	4423	6	26	1347	4181	32	4	8492	3568	29	2	8164	3163	103	74	11715	22554	49	31	21632	8765	56	141	10572	20614	167	284	30776	59847	259	38	52756	9350	27	6	8263	3595	67	67	21325	21986
scaffold	1400001	1410000	96	117	32281	54575	33	2	9785	4423	3	9	1347	4181	28	5	8492	3568	31	7	8164	3163	41	42	11715	22554	76	18	21632	8765	28	47	10572	20614	86	269	30776	59847	148	27	52756	9350	30	5	8263	3595	55	103	21325	21986
scaffold	1410001	1420000	107	126	32281	54575	19	5	9785	4423	5	3	1347	4181	26	19	8492	3568	25	7	8164	3163	18	36	11715	22554	69	35	21632	8765	17	42	10572	20614	93	175	30776	59847	173	38	52756	9350	19	3	8263	3595	61	73	21325	21986
scaffold	1420001	1430000	123	148	32281	54575	42	7	9785	4423	1	8	1347	4181	33	5	8492	3568	28	3	8164	3163	41	60	11715	22554	67	26	21632	8765	27	51	10572	20614	112	247	30776	59847	186	32	52756	9350	35	7	8263	3595	48	61	21325	21986
scaffold	1430001	1440000	137	192	32281	54575	15	13	9785	4423	5	8	1347	4181	26	11	8492	3568	14	5	8164	3163	51	77	11715	22554	60	12	21632	8765	41	64	10572	20614	115	272	30776	59847	191	25	52756	9350	33	5	8263	3595	39	60	21325	21986
scaffold	1440001	1450000	141	87	32281	54575	50	13	9785	4423	4	6	1347	4181	44	18	8492	3568	43	18	8164	3163	36	104	11715	22554	119	18	21632	8765	33	71	10572	20614	114	181	30776	59847	182	64	52756	9350	34	7	8263	3595	81	99	21325	21986
scaffold	1450001	1460000	113	96	32281	54575	28	7	9785	4423	2	7	1347	4181	27	4	8492	3568	11	2	8164	3163	45	49	11715	22554	48	20	21632	8765	40	30	10572	20614	94	266	30776	59847	158	44	52756	9350	15	1	8263	3595	52	45	21325	21986
scaffold	1460001	1470000	140	145	32281	54575	36	9	9785	4423	6	7	1347	4181	24	4	8492	3568	34	3	8164	3163	53	62	11715	22554	92	26	21632	8765	51	57	10572	20614	87	252	30776	59847	208	21	52756	9350	36	1	8263	3595	75	95	21325	21986
scaffold	1470001	1480000	129	104	32281	54575	39	14	9785	4423	3	9	1347	4181	30	6	8492	3568	24	6	8164	3163	46	69	11715	22554	73	13	21632	8765	32	70	10572	20614	103	248	30776	59847	165	32	52756	9350	28	4	8263	3595	70	85	21325	21986
scaffold	1480001	1490000	82	158	32281	54575	7	1	9785	4423	1	10	1347	4181	16	3	8492	3568	9	4	8164	3163	20	58	11715	22554	64	10	21632	8765	12	53	10572	20614	73	229	30776	59847	128	19	52756	9350	4	4	8263	3595	51	31	21325	21986
scaffold	1490001	1500000	47	76	32281	54575	17	2	9785	4423	2	1	1347	4181	2	0	8492	3568	1	2	8164	3163	23	51	11715	22554	43	3	21632	8765	20	19	10572	20614	40	182	30776	59847	73	7	52756	9350	4	2	8263	3595	42	26	21325	21986
scaffold	1500001	1510000	125	117	32281	54575	34	7	9785	4423	1	4	1347	4181	16	3	8492	3568	13	2	8164	3163	42	84	11715	22554	88	18	21632	8765	26	49	10572	20614	103	162	30776	59847	185	21	52756	9350	27	1	8263	3595	73	38	21325	21986
scaffold	1510001	1520000	100	128	32281	54575	27	6	9785	4423	1	2	1347	4181	17	1	8492	3568	13	10	8164	3163	36	22	11715	22554	66	12	21632	8765	22	20	10572	20614	75	259	30776	59847	129	36	52756	9350	20	5	8263	3595	57	51	21325	21986
scaffold	1520001	1530000	90	104	32281	54575	17	9	9785	4423	2	8	1347	4181	13	5	8492	3568	5	6	8164	3163	35	69	11715	22554	63	22	21632	8765	31	41	10572	20614	82	228	30776	59847	144	44	52756	9350	12	3	8263	3595	59	59	21325	21986
scaffold	1530001	1540000	194	83	32281	54575	54	12	9785	4423	3	9	1347	4181	32	10	8492	3568	49	7	8164	3163	70	59	11715	22554	137	27	21632	8765	73	45	10572	20614	146	199	30776	59847	259	35	52756	9350	24	8	8263	3595	131	105	21325	21986
scaffold	1540001	1550000	114	144	32281	54575	25	4	9785	4423	1	17	1347	4181	16	3	8492	3568	17	8	8164	3163	22	57	11715	22554	56	14	21632	8765	21	45	10572	20614	99	220	30776	59847	239	36	52756	9350	14	3	8263	3595	33	70	21325	21986
scaffold	1550001	1560000	73	65	32281	54575	17	9	9785	4423	1	6	1347	4181	15	7	8492	3568	19	1	8164	3163	25	22	11715	22554	80	18	21632	8765	23	35	10572	20614	58	149	30776	59847	123	24	52756	9350	13	5	8263	3595	69	51	21325	21986
scaffold	1560001	1570000	100	122	32281	54575	35	2	9785	4423	5	8	1347	4181	42	9	8492	3568	33	6	8164	3163	49	44	11715	22554	108	22	21632	8765	41	38	10572	20614	98	210	30776	59847	179	45	52756	9350	46	4	8263	3595	111	71	21325	21986
scaffold	1570001	1580000	69	56	32281	54575	14	13	9785	4423	4	9	1347	4181	14	6	8492	3568	10	5	8164	3163	30	51	11715	22554	48	27	21632	8765	17	20	10572	20614	53	109	30776	59847	114	25	52756	9350	12	8	8263	3595	44	40	21325	21986
scaffold	1580001	1590000	77	56	32281	54575	12	5	9785	4423	4	5	1347	4181	10	2	8492	3568	11	0	8164	3163	19	56	11715	22554	56	6	21632	8765	13	15	10572	20614	60	131	30776	59847	87	22	52756	9350	15	1	8263	3595	49	32	21325	21986
scaffold	1590001	1600000	153	140	32281	54575	26	6	9785	4423	2	6	1347	4181	9	10	8492	3568	20	2	8164	3163	49	96	11715	22554	69	15	21632	8765	43	65	10572	20614	104	322	30776	59847	192	98	52756	9350	25	8	8263	3595	66	28	21325	21986
scaffold	1600001	1610000	102	111	32281	54575	48	4	9785	4423	11	10	1347	4181	36	10	8492	3568	30	12	8164	3163	46	51	11715	22554	100	8	21632	8765	38	51	10572	20614	71	219	30776	59847	158	17	52756	9350	34	9	8263	3595	61	86	21325	21986
scaffold	1610001	1620000	150	91	32281	54575	52	3	9785	4423	13	7	1347	4181	33	8	8492	3568	25	3	8164	3163	78	66	11715	22554	45	11	21632	8765	66	37	10572	20614	113	245	30776	59847	188	54	52756	9350	27	5	8263	3595	52	45	21325	21986
scaffold	1620001	1630000	99	109	32281	54575	36	2	9785	4423	2	6	1347	4181	29	2	8492	3568	36	5	8164	3163	38	53	11715	22554	118	19	21632	8765	31	58	10572	20614	74	255	30776	59847	170	26	52756	9350	31	5	8263	3595	113	53	21325	21986
scaffold	1630001	1640000	62	170	32281	54575	18	24	9785	4423	0	9	1347	4181	19	5	8492	3568	18	6	8164	3163	30	64	11715	22554	47	7	21632	8765	27	43	10572	20614	65	223	30776	59847	127	41	52756	9350	21	3	8263	3595	52	52	21325	21986
scaffold	1640001	1650000	147	247	32281	54575	34	142	9785	4423	4	129	1347	4181	30	121	8492	3568	34	125	8164	3163	32	106	11715	22554	58	196	21632	8765	30	189	10572	20614	132	294	30776	59847	249	44	52756	9350	17	116	8263	3595	44	272	21325	21986
scaffold	1650001	1660000	166	163	32281	54575	34	1	9785	4423	8	6	1347	4181	28	13	8492	3568	26	3	8164	3163	42	89	11715	22554	111	14	21632	8765	35	70	10572	20614	142	182	30776	59847	233	28	52756	9350	20	10	8263	3595	90	72	21325	21986
scaffold	1660001	1670000	93	112	32281	54575	29	3	9785	4423	8	3	1347	4181	10	2	8492	3568	18	1	8164	3163	36	36	11715	22554	38	9	21632	8765	23	16	10572	20614	64	204	30776	59847	145	34	52756	9350	17	2	8263	3595	45	26	21325	21986
scaffold	1670001	1680000	201	107	32281	54575	68	9	9785	4423	10	11	1347	4181	74	4	8492	3568	83	2	8164	3163	100	41	11715	22554	122	25	21632	8765	86	63	10572	20614	181	133	30776	59847	292	22	52756	9350	75	1	8263	3595	123	92	21325	21986
scaffold	1680001	1690000	155	128	32281	54575	63	45	9785	4423	12	6	1347	4181	49	8	8492	3568	45	3	8164	3163	53	123	11715	22554	113	38	21632	8765	47	124	10572	20614	152	214	30776	59847	283	20	52756	9350	42	37	8263	3595	118	109	21325	21986
scaffold	1690001	1700000	99	222	32281	54575	38	13	9785	4423	11	8	1347	4181	33	7	8492	3568	18	3	8164	3163	49	69	11715	22554	74	19	21632	8765	26	70	10572	20614	85	288	30776	59847	152	31	52756	9350	34	5	8263	3595	59	67	21325	21986
scaffold	1700001	1710000	153	108	32281	54575	72	18	9785	4423	5	22	1347	4181	43	17	8492	3568	88	3	8164	3163	96	110	11715	22554	82	33	21632	8765	58	164	10572	20614	113	200	30776	59847	198	10	52756	9350	79	4	8263	3595	76	121	21325	21986
scaffold	1710001	1720000	115	60	32281	54575	81	2	9785	4423	6	9	1347	4181	52	17	8492	3568	35	12	8164	3163	78	70	11715	22554	44	13	21632	8765	79	50	10572	20614	86	145	30776	59847	166	15	52756	9350	29	6	8263	3595	8	16	21325	21986
scaffold	1720001	1730000	146	73	32281	54575	106	11	9785	4423	5	13	1347	4181	71	6	8492	3568	81	10	8164	3163	69	118	11715	22554	96	32	21632	8765	65	119	10572	20614	128	177	30776	59847	207	24	52756	9350	75	6	8263	3595	85	104	21325	21986
scaffold	1730001	1740000	90	124	32281	54575	41	1	9785	4423	3	4	1347	4181	21	1	8492	3568	37	0	8164	3163	41	28	11715	22554	83	19	21632	8765	39	23	10572	20614	82	236	30776	59847	128	36	52756	9350	20	4	8263	3595	76	54	21325	21986
scaffold	1740001	1750000	115	129	32281	54575	32	7	9785	4423	3	56	1347	4181	36	41	8492	3568	26	57	8164	3163	58	116	11715	22554	110	19	21632	8765	56	98	10572	20614	116	199	30776	59847	167	12	52756	9350	35	61	8263	3595	93	85	21325	21986
scaffold	1750001	1760000	118	108	32281	54575	44	12	9785	4423	6	9	1347	4181	33	6	8492	3568	24	15	8164	3163	37	88	11715	22554	99	28	21632	8765	30	85	10572	20614	113	158	30776	59847	196	23	52756	9350	37	13	8263	3595	102	97	21325	21986
scaffold	1760001	1770000	116	93	32281	54575	44	9	9785	4423	11	7	1347	4181	19	6	8492	3568	34	6	8164	3163	34	94	11715	22554	71	28	21632	8765	26	92	10572	20614	92	163	30776	59847	169	19	52756	9350	32	7	8263	3595	84	72	21325	21986
scaffold	1770001	1780000	76	142	32281	54575	16	11	9785	4423	1	3	1347	4181	29	3	8492	3568	24	12	8164	3163	22	80	11715	22554	49	52	21632	8765	19	88	10572	20614	62	201	30776	59847	127	19	52756	9350	35	9	8263	3595	51	120	21325	21986
scaffold	1780001	1790000	71	87	32281	54575	61	20	9785	4423	2	11	1347	4181	39	7	8492	3568	49	12	8164	3163	53	86	11715	22554	60	25	21632	8765	53	68	10572	20614	72	91	30776	59847	165	15	52756	9350	61	2	8263	3595	60	124	21325	21986
scaffold	1790001	1800000	38	82	32281	54575	9	3	9785	4423	0	0	1347	4181	4	2	8492	3568	2	3	8164	3163	13	34	11715	22554	8	8	21632	8765	10	15	10572	20614	35	151	30776	59847	61	26	52756	9350	4	1	8263	3595	23	7	21325	21986
scaffold	1800001	1810000	106	76	32281	54575	43	17	9785	4423	4	10	1347	4181	22	4	8492	3568	30	10	8164	3163	45	45	11715	22554	84	28	21632	8765	42	83	10572	20614	96	126	30776	59847	155	35	52756	9350	33	8	8263	3595	94	67	21325	21986
scaffold	1810001	1820000	146	122	32281	54575	16	29	9785	4423	0	10	1347	4181	29	21	8492	3568	30	10	8164	3163	17	130	11715	22554	125	39	21632	8765	18	119	10572	20614	147	111	30776	59847	220	31	52756	9350	25	2	8263	3595	135	77	21325	21986
scaffold	1820001	1830000	152	183	32281	54575	28	8	9785	4423	0	3	1347	4181	61	5	8492	3568	30	1	8164	3163	27	110	11715	22554	105	66	21632	8765	25	115	10572	20614	163	166	30776	59847	268	21	52756	9350	48	5	8263	3595	108	129	21325	21986
scaffold	1830001	1840000	107	128	32281	54575	56	26	9785	4423	2	20	1347	4181	45	7	8492	3568	50	3	8164	3163	70	55	11715	22554	100	25	21632	8765	66	52	10572	20614	85	91	30776	59847	214	29	52756	9350	64	7	8263	3595	77	129	21325	21986
scaffold	1840001	1850000	107	167	32281	54575	41	51	9785	4423	2	44	1347	4181	49	20	8492	3568	64	32	8164	3163	82	99	11715	22554	64	29	21632	8765	74	126	10572	20614	111	136	30776	59847	217	28	52756	9350	52	20	8263	3595	64	136	21325	21986
scaffold	1850001	1860000	120	223	32281	54575	7	25	9785	4423	1	23	1347	4181	55	12	8492	3568	49	8	8164	3163	76	49	11715	22554	95	36	21632	8765	76	67	10572	20614	109	219	30776	59847	247	16	52756	9350	47	12	8263	3595	138	95	21325	21986
scaffold	1860001	1870000	109	166	32281	54575	33	7	9785	4423	2	11	1347	4181	18	2	8492	3568	22	5	8164	3163	52	21	11715	22554	46	46	21632	8765	35	53	10572	20614	115	199	30776	59847	185	26	52756	9350	34	2	8263	3595	76	67	21325	21986
scaffold	1870001	1880000	75	227	32281	54575	37	8	9785	4423	3	4	1347	4181	25	6	8492	3568	33	2	8164	3163	39	55	11715	22554	67	15	21632	8765	37	64	10572	20614	80	230	30776	59847	176	26	52756	9350	31	3	8263	3595	62	36	21325	21986
scaffold	1880001	1890000	114	238	32281	54575	36	26	9785	4423	3	8	1347	4181	34	4	8492	3568	31	14	8164	3163	41	22	11715	22554	70	11	21632	8765	37	33	10572	20614	107	145	30776	59847	167	25	52756	9350	28	5	8263	3595	91	33	21325	21986
scaffold	1890001	1900000	52	64	32281	54575	10	25	9785	4423	1	3	1347	4181	11	9	8492	3568	15	12	8164	3163	17	23	11715	22554	16	3	21632	8765	14	27	10572	20614	47	56	30776	59847	87	22	52756	9350	20	2	8263	3595	46	40	21325	21986
scaffold	1900001	1910000	143	215	32281	54575	34	35	9785	4423	0	23	1347	4181	41	55	8492	3568	34	53	8164	3163	55	42	11715	22554	158	36	21632	8765	56	45	10572	20614	134	190	30776	59847	281	34	52756	9350	53	1	8263	3595	158	71	21325	21986
scaffold	1910001	1920000	74	227	32281	54575	23	20	9785	4423	2	6	1347	4181	18	3	8492	3568	14	5	8164	3163	28	66	11715	22554	73	19	21632	8765	25	46	10572	20614	75	216	30776	59847	168	24	52756	9350	21	4	8263	3595	71	58	21325	21986
scaffold	1920001	1930000	93	194	32281	54575	46	14	9785	4423	10	6	1347	4181	35	7	8492	3568	44	3	8164	3163	34	105	11715	22554	71	44	21632	8765	32	76	10572	20614	90	189	30776	59847	169	31	52756	9350	26	5	8263	3595	66	98	21325	21986
scaffold	1930001	1940000	130	133	32281	54575	30	63	9785	4423	6	33	1347	4181	46	71	8492	3568	43	40	8164	3163	28	170	11715	22554	100	81	21632	8765	29	138	10572	20614	116	155	30776	59847	242	20	52756	9350	39	58	8263	3595	78	183	21325	21986
scaffold	1940001	1950000	120	167	32281	54575	28	179	9785	4423	2	172	1347	4181	40	182	8492	3568	40	175	8164	3163	18	271	11715	22554	95	214	21632	8765	19	256	10572	20614	111	162	30776	59847	217	23	52756	9350	23	177	8263	3595	87	298	21325	21986
scaffold	1950001	1960000	124	310	32281	54575	19	22	9785	4423	1	9	1347	4181	47	11	8492	3568	44	20	8164	3163	6	164	11715	22554	38	46	21632	8765	6	162	10572	20614	136	252	30776	59847	193	22	52756	9350	25	4	8263	3595	26	130	21325	21986
scaffold	1960001	1970000	79	309	32281	54575	22	25	9785	4423	2	34	1347	4181	18	41	8492	3568	19	19	8164	3163	21	172	11715	22554	50	32	21632	8765	19	161	10572	20614	74	343	30776	59847	125	57	52756	9350	24	40	8263	3595	46	86	21325	21986
scaffold	1970001	1980000	57	159	32281	54575	18	10	9785	4423	2	2	1347	4181	8	3	8492	3568	13	2	8164	3163	16	43	11715	22554	32	16	21632	8765	15	39	10572	20614	49	174	30776	59847	72	51	52756	9350	11	5	8263	3595	29	36	21325	21986
scaffold	1980001	1990000	83	161	32281	54575	21	3	9785	4423	8	5	1347	4181	29	3	8492	3568	25	4	8164	3163	28	44	11715	22554	54	16	21632	8765	31	48	10572	20614	84	185	30776	59847	120	33	52756	9350	24	3	8263	3595	62	57	21325	21986
scaffold	1990001	2000000	174	96	32281	54575	49	7	9785	4423	21	7	1347	4181	41	0	8492	3568	57	4	8164	3163	29	135	11715	22554	123	5	21632	8765	27	131	10572	20614	177	106	30776	59847	212	50	52756	9350	38	8	8263	3595	102	75	21325	21986
scaffold	2000001	2010000	131	189	32281	54575	37	7	9785	4423	8	12	1347	4181	35	1	8492	3568	30	8	8164	3163	44	70	11715	22554	92	35	21632	8765	40	65	10572	20614	128	196	30776	59847	211	36	52756	9350	23	16	8263	3595	106	82	21325	21986
scaffold	2010001	2020000	74	138	32281	54575	11	2	9785	4423	3	9	1347	4181	12	0	8492	3568	17	8	8164	3163	39	44	11715	22554	21	12	21632	8765	23	39	10572	20614	78	142	30776	59847	98	70	52756	9350	21	6	8263	3595	27	7	21325	21986
scaffold	2020001	2030000	111	141	32281	54575	39	7	9785	4423	9	7	1347	4181	40	13	8492	3568	25	5	8164	3163	39	52	11715	22554	91	9	21632	8765	37	24	10572	20614	118	136	30776	59847	187	32	52756	9350	26	5	8263	3595	97	46	21325	21986
